"intexts","Freq"
"baltbuster",3
"baltimore",1081
"bam",84
"bama",31
"bamboo",92
"bamboozle",21
"bamm",5
"ban",465
"banana",339
"bananas",146
"band",2455
"bandaid",7
"bandana",8
"bandcamp",6
"bandit",32
"bandmates",20
"bands",641
"bandsilove",3
"bandstand",29
"bandwagon",53
"bandwidth",32
"bane",30
"bang",310
"banged",53
"banger",21
"bangers",4
"bangin",7
"banging",76
"bangkok",48
"bangs",53
"banjo",43
"bank",2147
"banker",93
"bankers",116
"banking",285
"bankrupt",78
"bankruptcy",420
"banks",912
"banned",230
"banner",259
"banners",77
"banning",77
"banquet",73
"banquets",11
"bans",91
"banter",64
"baptist",157
"bar",2377
"barack",587
"barb",44
"barbara",360
"barbaric",27
"barbecue",179
"barber",108
"barbershop",25
"barbie",81
"barbies",9
"barca",10
"barcelona",127
"bard",52
"bare",294
"barefoot",91
"barely",769
"barf",19
"bargain",226
"bargaining",203
"bargains",50
"barista",29
"bark",125
"barker",57
"barking",75
"barkley",54
"barks",29
"barley",114
"barn",234
"barnard",24
"barnes",254
"barnesandnoble",4
"barnett",56
"barney",63
"barometer",23
"baron",103
"baroque",41
"barre",26
"barred",84
"barrel",305
"barrett",126
"barrie",23
"barrier",201
"barriers",129
"barrington",15
"barron",44
"barry",291
"barrymore",15
"bars",563
"bart",88
"bartab",12
"bartender",119
"bartenders",52
"bartending",10
"barton",63
"baruch",9
"bas",8
"base",1796
"baseball",1382
"baseballs",12
"basecamp",6
"based",4358
"baseline",64
"baseman",194
"basement",384
"bases",291
"bash",120
"bashed",21
"bashing",52
"bashir",16
"basic",1035
"basically",1005
"basics",193
"basil",198
"basis",785
"basket",384
"basketball",1276
"baskets",147
"bass",470
"basses",4
"basset",3
"bassist",52
"bastard",90
"bastards",51
"basterds",4
"bastille",12
"bat",373
"batch",268
"bates",65
"bath",402
"bathe",38
"bathing",70
"bathroom",649
"bathrooms",108
"baths",94
"bathtub",56
"batista",9
"batman",195
"baton",47
"bats",238
"batt",4
"batter",300
"battered",131
"batteries",162
"batters",97
"battery",367
"battier",21
"batting",295
"battle",1235
"battled",101
"battlefield",74
"battlepug",3
"battles",240
"battleship",40
"battling",159
"batum",109
"bauer",68
"bawled",9
"bawling",12
"baxter",61
"bay",1422
"bayern",44
"bayless",47
"baylor",162
"bayou",29
"bayside",17
"bazaar",27
"bb",137
"bball",40
"bbc",255
"bbl",4
"bbm",18
"bbn",20
"bbq",241
"bbs",11
"bbw",8
"bby",18
"bc",267
"bck",13
"bcp",3
"bcs",125
"bcuz",21
"bd",21
"bday",222
"bdubs",9
"be",92559
"bea",44
"beach",1855
"beachbody",7
"beaches",177
"beachwood",73
"beacon",66
"beads",202
"beagle",21
"beal",26
"beale",20
"beam",94
"beaming",46
"bean",327
"beanballs",3
"beanie",33
"beanies",4
"beans",565
"beantown",3
"bear",937
"bearable",21
"bearcats",23
"beard",211
"beardo",3
"beards",27
"bearing",203
"bears",609
"beasley",32
"beast",306
"beastie",78
"beastieboys",7
"beasties",17
"beastmode",6
"beasts",45
"beat",2014
"beatdown",10
"beaten",283
"beater",19
"beating",479
"beatles",165
"beats",334
"beatz",5
"beau",71
"beauties",48
"beautiful",3762
"beautifully",287
"beauty",1184
"beaver",65
"beavers",184
"beaverton",128
"bebe",18
"bec",16
"became",2552
"because",22582
"beck",124
"beckett",72
"beckham",81
"becky",87
"become",4611
"becomes",1147
"becoming",1185
"becuase",16
"becuz",15
"bed",2583
"bedazzled",12
"bedding",69
"bedford",53
"bedroom",595
"beds",270
"bedside",53
"bedtime",128
"bee",313
"beech",30
"beecher",23
"beef",720
"beehive",15
"beek",8
"been",34197
"beep",43
"beeps",9
"beer",3477
"beers",836
"bees",164
"beet",60
"beethoven",54
"beets",94
"beez",14
"befor",3
"before",16464
"beforehand",92
"beforetwitter",3
"befriend",17
"beg",98
"began",3014
"begat",3
"begged",63
"begging",145
"begin",1923
"begining",3
"beginner",73
"beginners",58
"beginning",1969
"beginnings",93
"begins",1054
"begs",49
"begun",406
"behalf",381
"behave",129
"behaved",59
"behaves",15
"behaving",60
"behavior",781
"behaviors",120
"behind",3997
"behold",135
"beholder",20
"beiber",15
"beignets",21
"beijing",220
"bein",51
"being",15312
"beings",309
"bel",46
"belated",51
"belatedly",9
"beleive",6
"belgian",158
"belgium",142
"belichick",36
"belieber",33
"belieberboy",3
"beliebers",34
"belief",571
"beliefs",320
"believable",88
"believe",5387
"believed",884
"believer",135
"believers",133
"believes",797
"believing",250
"belive",6
"bell",659
"bella",150
"bellafb",3
"belle",114
"bellevue",29
"bellies",28
"belling",3
"bells",152
"belltown",3
"belly",365
"bellybutton",5
"bellydancing",3
"belmont",71
"belong",324
"belongs",193
"beloved",416
"below",1996
"belt",420
"beltline",5
"beltre",14
"belts",90
"ben",738
"benadryl",20
"bench",509
"benches",87
"benchmarks",40
"bend",249
